Argentina, Cordoba, Cordoba, 1433991600000, 8.21, 27.86, 1001.88, 9.21347, SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 7.55, 75.82, 1001.25, 2.69564, SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 7.47, 76.96, 1003.12, 2.91693, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 7.34, 75.31, 1001.88, 3.58078, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 7.55, 75.43, 1001.88, 2.95716, NORTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 7.5, 73.07, 1001.88, 1.79039, NORTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 7.29, 75.0, 1001.88, 1.42829, OESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 7.01, 73.54, 1001.88, 2.65541, OESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 7.02, 74.84, 1002.5, 3.25891, SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 6.69, 76.27, 1002.5, 2.49448, SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 6.78, 81.13, 1001.88, 2.63529, SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 6.46, 79.57, 1002.5, 1.77027, SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 6.01, 79.05, 1001.25, 2.35366, SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 5.8, 79.81, 1003.12, 2.97728, SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 5.66, 80.03, 1002.5, 2.15249, SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 5.44, 78.7, 1001.88, 2.79623, SUDOESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1433991600000, 4.97, 79.66, 1003.75, 2.55483, SUDOESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 4.97, 87.9, 1001.88, 3.46008, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 4.96, 86.16, 1002.5, 3.05775, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 5.12, 88.41, 1003.75, 2.51459, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 5.11, 87.14, 1002.5, 2.43413, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 5.04, 87.84, 1002.5, 2.77611, SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 4.67, 85.15, 1003.75, 3.2388, SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 4.73, 86.08, 1003.12, 2.83646, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 4.31, 84.24, 1003.12, 3.09798, OESTE SUDOESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 4.31, 86.0, 1002.5, 2.91693, SUDOESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 4.24, 86.02, 1002.5, 2.69564, SUDOESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 3.82, 87.4, 1001.88, 2.45424, SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 3.78, 88.26, 1001.88, 2.35366, SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 3.3, 87.38, 1001.88, 3.41985, SUDOESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 3.11, 90.25, 1001.25, 3.15833, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 3.17, 90.76, 1001.25, 2.83646, OESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 2.94, 89.64, 1001.25, 2.49448, SUDOESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 2.9, 88.55, 1000.62, 3.29915, OESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 2.78, 88.8, 1000.0, 0.905254, OESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 2.64, 88.24, 1000.0, 2.21284, OESTE SUDOESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 2.58, 89.2, 1000.0, 1.91109, OESTE SUDOESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 2.49, 88.86, 1000.0, 1.60934, OESTE SUDOESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 2.03, 87.63, 998.75, 2.75599, OESTE SUDOESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.76, 87.39, 999.375, 3.68137, SUDOESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.65, 90.96, 999.375, 4.12393, SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.67, 92.19, 999.375, 2.43413, SUDOESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.83, 92.64, 999.375, 4.4458, SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 2.22, 94.31, 999.375, 3.8423, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 2.18, 91.2, 998.75, 2.89681, OESTE SUDOESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.92, 88.74, 998.75, 2.83646, SUDOESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.69, 89.12, 998.75, 2.35366, OESTE SUDOESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.43, 89.04, 999.375, 2.49448, OESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.31, 90.01, 998.75, 1.10642, OESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.23, 90.17, 998.125, 1.64957, OESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.2, 91.02, 998.125, 2.63529, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.41, 93.63, 999.375, 3.05775, SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.44, 91.79, 996.875, 0.623619, SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.39, 90.66, 999.375, 0.0, SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.3, 92.42, 998.125, 0.241401, SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.09, 90.85, 998.75, 2.23296, SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.12, 93.19, 1000.0, 2.13238, SUDOESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.01, 90.93, 998.125, 1.34782, SUDOESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.01, 90.73, 998.125, 2.71576, SUDOESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.15, 94.23, 998.75, 1.93121, OESTE SUDOESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.08, 93.44, 998.75, 0.80467, OESTE SUDOESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.03, 92.52, 1000.0, 0.100584, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.05, 94.49, 997.5, 1.50876, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 0.86, 93.06, 998.125, 1.93121, SUDOESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 0.89, 94.47, 998.125, 0.261518, SUDOESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 0.89, 94.01, 998.75, 2.15249, SUDESTE SUR, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 0.82, 93.29, 998.75, 0.0, SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.05, 95.34, 998.125, 1.04607, SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.24, 96.14, 1000.0, 0.724203, ESTE SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 1.6, 96.54, 997.5, 0.160934, ESTE SUDESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 2.31, 96.46, 998.125, 3.03763, ESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 3.18, 95.79, 996.875, 3.25891, ESTE NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 3.75, 92.9, 996.875, 1.79039, NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 4.47, 92.26, 998.125, 2.13238, NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 5.22, 88.66, 996.875, 3.03763, NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 5.68, 89.35, 997.5, 2.63529, ESTE NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 6.51, 82.51, 998.125, 2.73588, NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 7.39, 79.91, 998.125, 5.00907, NORTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 8.13, 75.93, 999.375, 6.29654, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 8.8, 72.52, 996.875, 7.4432, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 9.3, 69.16, 998.75, 6.90005, NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 9.77, 63.61, 998.125, 6.45748, NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 10.45, 61.65, 998.75, 7.82542, NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 10.98, 58.4, 998.125, 8.12717, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 11.41, 59.67, 997.5, 8.26798, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 12.11, 59.0, 998.75, 8.81114, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 12.66, 56.57, 997.5, 9.17324, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 13.07, 50.46, 997.5, 13.7196, NORTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 13.44, 50.76, 998.125, 13.2569, NORTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 13.91, 49.28, 996.875, 16.878, NORTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 15.1, 46.41, 996.25, 15.9928, NORTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 15.03, 44.05, 996.875, 18.3062, NORTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 15.38, 44.58, 996.875, 15.7313, NORTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 15.33, 42.35, 996.25, 19.0707, NORTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 15.22, 43.19, 996.25, 19.7345, NORTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 15.29, 43.47, 997.5, 18.6885, NORTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 15.03, 42.97, 996.25, 20.3582, NORTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 15.06, 45.73, 996.25, 17.6424, NORTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 14.94, 45.88, 996.25, 17.3809, NORTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 14.91, 46.07, 996.25, 18.3264, NORTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 14.94, 46.15, 994.375, 19.131, NORTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 15.11, 47.87, 995.625, 18.5879, NORTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 15.12, 46.53, 993.125, 18.085, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 15.36, 46.84, 995.0, 19.7949, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 15.56, 46.67, 994.375, 18.4471, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 15.89, 46.65, 992.5, 19.9357, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 16.1, 46.28, 993.75, 19.4328, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 16.32, 43.41, 992.5, 18.5678, NORTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 16.47, 44.93, 992.5, 17.8838, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 16.3, 44.59, 993.125, 17.743, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 16.36, 44.68, 992.5, 17.5619, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 16.37, 43.02, 992.5, 17.3004, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 16.37, 44.79, 993.125, 18.085, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 16.18, 43.98, 993.125, 15.852, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 16.22, 45.11, 992.5, 17.3608, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 15.82, 44.76, 991.875, 16.3952, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 15.81, 44.64, 993.125, 15.5704, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 15.83, 47.0, 993.125, 14.9065, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 15.64, 46.37, 993.75, 14.5243, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 15.9, 46.48, 993.125, 14.0415, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 15.57, 47.25, 992.5, 13.619, NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 15.21, 48.64, 992.5, 12.1908, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 15.03, 48.54, 991.875, 12.4925, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 14.9, 49.44, 991.875, 12.8345, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 14.79, 49.1, 991.25, 12.3919, NOR NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 14.6, 53.35, 993.75, 10.2193, NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 14.45, 53.31, 993.125, 9.39452, NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 14.22, 53.74, 992.5, 9.97791, NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 13.91, 56.7, 993.125, 9.03242, NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 13.64, 57.42, 992.5, 8.06682, NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 13.52, 57.4, 991.875, 8.83125, NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 13.38, 58.28, 991.875, 8.00647, NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 13.19, 58.67, 993.75, 6.92016, NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 12.91, 60.34, 991.875, 6.09538, NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 12.63, 62.1, 993.125, 5.89421, ESTE NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 12.42, 63.58, 991.875, 4.5665, ESTE NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 12.37, 63.5, 993.125, 4.10382, NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 12.38, 63.15, 993.75, 6.15573, ESTE NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 12.49, 62.86, 993.75, 7.48343, NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 12.46, 63.3, 993.75, 7.26215, NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 12.35, 63.86, 993.75, 5.53211, ESTE NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 11.83, 65.72, 993.75, 5.71316, ESTE NORESTE, Asociaci󮠃ivil de Producrores
Argentina, Cordoba, Cordoba, 1434078000000, 11.32, 67.92, 993.125, 5.33094, ESTE NORESTE, Asociaci󮠃ivil de Producrores
