Argentina, Chaco, Chaco, 1359342000000, 30.12, 37.56, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 26.01, 61.56, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 26.23, 60.78, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 26.22, 60.72, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 26.26, 59.38, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 26.38, 57.61, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 26.28, 56.57, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 25.89, 59.23, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 26.24, 60.78, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 25.65, 60.26, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 25.38, 62.27, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 25.34, 62.36, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 25.13, 62.17, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 25.18, 59.79, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 24.5, 64.51, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 24.87, 62.46, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 25.35, 60.19, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 25.06, 62.31, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 25.36, 60.34, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 25.3, 60.91, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 25.52, 59.45, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 26.35, 58.69, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 27.03, 55.02, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 27.18, 50.64, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 27.42, 49.76, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 27.68, 49.05, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 28.15, 48.42, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 28.09, 47.36, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 28.37, 46.17, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 28.37, 47.26, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 28.76, 47.24, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 28.83, 47.02, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 29.3, 45.48, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 29.61, 45.31, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 29.9, 42.82, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.07, 43.15, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.19, 41.73, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.61, 42.73, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.77, 40.8, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.07, 41.11, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.17, 39.4, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.38, 39.49, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.96, 42.09, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.31, 43.51, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.25, 43.71, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.28, 43.54, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.31, 43.24, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.37, 43.08, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.43, 42.98, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.51, 42.69, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.6, 42.49, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.67, 42.19, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.73, 41.89, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.83, 41.43, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 30.88, 40.99, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.0, 40.69, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.09, 40.53, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.16, 40.4, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.22, 39.89, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.16, 40.19, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.2, 39.99, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.21, 39.85, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.24, 39.61, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.26, 39.55, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.29, 39.51, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.31, 39.31, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.34, 39.28, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.34, 39.24, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.35, 39.14, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.36, 39.11, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.39, 39.07, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.42, 39.04, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.41, 39.01, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.42, 38.94, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.44, 38.94, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.43, 38.97, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.47, 39.01, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.45, 39.05, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.42, 39.15, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.45, 39.15, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.45, 39.15, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.45, 39.25, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.42, 39.35, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.43, 39.42, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.41, 39.46, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.41, 39.49, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.38, 39.59, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.37, 39.59, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.37, 39.59, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.33, 39.55, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.32, 39.55, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.32, 39.52, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.3, 39.55, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359428400000, 31.25, 39.51, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 31.24, 39.47, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 31.23, 39.51, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 31.19, 39.54, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 31.16, 39.57, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 31.16, 39.6, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 31.11, 39.7, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 31.09, 39.8, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 31.09, 39.84, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 31.06, 39.9, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 31.02, 39.93, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.99, 40.03, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.97, 40.07, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.93, 40.13, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.91, 40.2, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.88, 40.23, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.84, 40.19, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.79, 40.19, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.78, 40.12, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.74, 40.08, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.69, 40.11, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.67, 40.07, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.64, 40.03, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.6, 40.03, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.58, 40.03, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.56, 39.96, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.49, 39.85, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.48, 39.71, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.43, 39.74, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.4, 39.66, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.39, 39.66, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.32, 39.62, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.29, 39.55, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.26, 39.58, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.24, 39.61, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.19, 39.64, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.16, 39.64, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.13, 39.71, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.1, 39.77, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.07, 39.84, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.03, 39.83, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 30.0, 39.9, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 29.97, 39.93, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 29.94, 40.0, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 29.92, 40.03, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 25.48, 46.65, -999.0, -999.0, NORTE, Prov. Chaco
Argentina, Chaco, Chaco, 1359514800000, 25.29, 47.44, -999.0, -999.0, NORTE, Prov. Chaco
